Symbol,Name,IndustryCode,Industry
NERV,Minerva Neurosciences Inc,56202010,생명 공학 및 의학 연구
IINN,Inspira Technologies Oxy BHN Ltd,56101010,첨단 의료 장비 및 기술
ATER,Aterian Inc,53204030,"가전제품, 도구 및 가정 용품"
JFU,9F Inc ADR,55102020,투자 관리 및 펀드 운영
SPRB,Spruce Biosciences Inc,56202010,생명 공학 및 의학 연구
ISPO,Inspirato Inc,53301040,여가 및 오락시설
HKIT,Hitek Global Inc,57107010,통합 하드웨어 및 소프트웨어
ZPTA,Zapata Computing Holdings Inc,57201020,소프트웨어
RDIB,Reading International Inc Class B,53301040,여가 및 오락시설
USEA,United Maritime Corp,52405020,해양 화물 및 물류
GDTC,CytoMed Therapeutics Ltd,56202010,생명 공학 및 의학 연구
BTCS,BTCS Inc,52203040,경영 지원 서비스
COCP,Cocrystal Pharma Inc,56202010,생명 공학 및 의학 연구
LOBO,LOBO EV Technologies Ltd,53101010,자동차 및 트럭 제조
GBNY,Generations Bancorp NY Inc,55101010,은행
UONE,Urban One Inc Class A,53302020,방송
BYU,BAIYU Holdings Inc,52406020,지상 및 해상 여객 운송
PXDT,Pixie Dust Technologies Inc ADR,57201010,IT 서비스 및 컨설팅
TWG,Top Wealth Group Holding Ltd,54102010,어업 및 농업
ONCT,Oncternal Therapeutics Inc,56202010,생명 공학 및 의학 연구
GWAV,Greenwave Technology Solutions Inc,52203010,환경 서비스 및 장비
SAI,SAI.TECH Global Corp,57301030,블록 체인 및 암호화폐
WKSP,Worksport Ltd,52203040,경영 지원 서비스
VBIV,VBI Vaccines Inc,56202010,생명 공학 및 의학 연구
APRE,Aprea Therapeutics Inc,56202010,생명 공학 및 의학 연구
OCCIO,OFS Credit Company 6 125 Prf Series C,55501030,폐쇄형 펀드
MNSBP,MainStreet Bancshares Depositary Shares Representing Pref Shs,55101010,은행
KIRK,Kirkland's Inc,53403030,가정용 가구 소매
SOHON,SOTHERLY HOTELS Perpetual Pref Shs Series D,60102040,특수 REITs
COSM,Cosmos Health Inc,56201040,제약
CETU,Cetus Capital Acquisition Corp,55601010,투자 지주 회사
JAGX,Jaguar Health Inc,56202010,생명 공학 및 의학 연구
LAES,Sealsq Corp,57101010,반도체
APLM,Apollomics Inc,56202010,생명 공학 및 의학 연구
FBRX,Forte Biosciences Inc,56202010,생명 공학 및 의학 연구
CDT,Conduit Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
CGBS,Catcha Investment Corp,55601010,투자 지주 회사
YHGJ,Yunhong Green CTI Ltd,51302010,용기(종이 제외) 및 포장재
DUOT,Duos Technologies Group Inc,57201020,소프트웨어
LRE,Lead Real Estate Co Ltd ADR,60101010,"부동산 임대, 개발 및 운영"
IZM,ICZOOM Group Inc,57104010,전자 장비 및 부품
EKSO,Ekso Bionics Holdings Inc,56101010,첨단 의료 장비 및 기술
NXPL,NextPlat Corp,57401020,무선 통신 서비스
OMIC,Singular Genomics Systems Inc,56202010,생명 공학 및 의학 연구
CLPS,CLPS Inc,57201010,IT 서비스 및 컨설팅
MINDP,MIND Technology 9 00 Cumulative Pref Shs Series A,50103020,오일 관련 서비스 및 장비
TXMD,TherapeuticsMD Inc,56201040,제약
CPIX,Cumberland Pharmaceuticals Inc,56201040,제약
VIRX,Viracta Therapeutics Inc,56202010,생명 공학 및 의학 연구
GIPR,Generation Income Properties Inc,60101010,"부동산 임대, 개발 및 운영"
OCC,Optical Cable Corp,57102010,통신 및 네트워킹
SWAG,Stran & Company Inc,53302010,광고 및 마케팅
VINC,Vincerx Pharma Inc,56202010,생명 공학 및 의학 연구
UCAR,U Power Ltd,53101010,자동차 및 트럭 제조
EPOW,Sunrise New Energy Co Ltd,52203040,경영 지원 서비스
BBGI,Beasley Broadcast Group Inc,53302020,방송
HOFV,Hall of Fame Resort & Entertainment Co,53301010,"호텔, 모텔 및 크루즈 라인"
IMPPP,Imperial Petroleum 8.75 Cumulative Redeemable Perpetual Pref Shs Series A,50201020,재생 가능 연료
STRRP,Star Equity Holdings Cumulative Perpetual Pref Shs Series A,53203010,주택 건설
SDOT,Sadot Group Inc,54102010,어업 및 농업
ULY,Urgent.ly Inc,57201020,소프트웨어
ANY,Sphere 3D Corp,57301030,블록 체인 및 암호화폐
AEZS,Aeterna Zentaris Inc,56202010,생명 공학 및 의학 연구
MEIP,MEI Pharma Inc,56202010,생명 공학 및 의학 연구
CARA,Cara Therapeutics Inc,56201040,제약
WVVI,Willamette Valley Vineyards Inc,54101020,증류주 및 포도주
INDP,Indaptus Therapeutics Inc,56202010,생명 공학 및 의학 연구
JDZG,JIADE Ltd,63101010,기타 교육 서비스 제공
BIMI,BIMI Holdings Inc,56201040,제약
FCUV,Focus Universal Inc,57201020,소프트웨어
HLP,Hongli Group Inc,52102010,산업용 기계 및 장비
BTCY,Biotricity Inc,56101010,첨단 의료 장비 및 기술
JZ,Jianzhi Education Technology Group Co Ltd ADR,63103010,전문 및 비즈니스 교육
MMAT,Meta Materials Inc,57104010,전자 장비 및 부품
PMEC,Primech Holdings Ltd,52203040,경영 지원 서비스
UNCY,Unicycive Therapeutics Inc,56202010,생명 공학 및 의학 연구
VRAR,Glimpse Group Inc,57201020,소프트웨어
GLYC,GlycoMimetics Inc,56202010,생명 공학 및 의학 연구
MCVT,Mill City Ventures III Ltd,55101030,소비자 대출
MRM,Medirom Healthcare Technologies Inc ADR,54201030,개인 서비스
UGRO,urban-gro Inc,54102010,어업 및 농업
NRSN,Neurosense Therapeutics Ltd,56202010,생명 공학 및 의학 연구
PYPD,PolyPid Ltd,56201040,제약
SNSE,Sensei Biotherapeutics Inc,56202010,생명 공학 및 의학 연구
LASE,Laser Photonics Corp,52102030,전기 부품 및 장비
MMV,MultiMetaVerse Holdings Limited,53302030,엔터테인먼트 제작
GYRO,Gyrodyne LLC,60101010,"부동산 임대, 개발 및 운영"
DALN,Dallasnews Corp,53302040,소비자 출판
LYRA,Lyra Therapeutics Inc,56202010,생명 공학 및 의학 연구
SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,57201010,IT 서비스 및 컨설팅
PMCB,PharmaCyte Biotech Inc,56201040,제약
ATHE,Alterity Therapeutics Ltd ADR,56202010,생명 공학 및 의학 연구
JCTCF,Jewett-Cameron Trading Company Ltd,51301010,임업 및 목재 제품
PETV,PetVivo Holdings Inc,56101020,"의료 장비, 물품 및 유통"
PEGY,Pineapple Energy Inc,59101010,전력 유틸리티
SISI,Shineco Inc,54102020,식품 가공
VEV,Vicinity Motor Corp,52102020,중장비 및 차량
BFRG,Bullfrog AI Holdings  Inc.,56202010,생명 공학 및 의학 연구
AWH,Aspira Women's Health Inc,56202010,생명 공학 및 의학 연구
BENF,Beneficient,57301010,핀테크
ABTS,Abits Group Inc,57201030,온라인 서비스
RGF,Real Good Food Company Inc,54102020,식품 가공
CWD,CaliberCos Inc,55102020,투자 관리 및 펀드 운영
MGIH,Millennium Group International Holdings Ltd,51302020,종이 포장재
TAIT,Taitron Components Inc,57104010,전자 장비 및 부품
SYBX,Synlogic Inc,56202010,생명 공학 및 의학 연구
PT,Pintec Technology Holdings Ltd ADR,57201010,IT 서비스 및 컨설팅
XELB,Xcel Brands Inc,53302030,엔터테인먼트 제작
MBOT,Microbot Medical Inc,56202010,생명 공학 및 의학 연구
EVAX,Evaxion Biotech A/S ADR,56202010,생명 공학 및 의학 연구
PETZ,TDH Holdings Inc,54102020,식품 가공
HTOO,Fusion Fuel Green PLC,50201020,재생 가능 연료
SGLY,Singularity Future Technology Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
BOSC,BOS Better Online Solutions Ltd,52102010,산업용 기계 및 장비
EDTK,Skillful Craftsman Education Technology Ltd,63103010,전문 및 비즈니스 교육
VRM,Vroom Inc,57201030,온라인 서비스
AYTU,Aytu Biopharma Inc,56201040,제약
CLRO,Clearone Inc,57102010,통신 및 네트워킹
HTCR,HeartCore Enterprises Inc,57201020,소프트웨어
EDUC,Educational Development Corp,53302040,소비자 출판
FMST,Foremost Lithium Resource & Technology Ltd,51201080,다각적 채굴
BCTX,Briacell Therapeutics Corp,56202010,생명 공학 및 의학 연구
PEV,Phoenix Motor Inc,53101010,자동차 및 트럭 제조
KTRA,Kintara Therapeutics Inc,56202010,생명 공학 및 의학 연구
MTEN,Mingteng International Corp Inc,52102010,산업용 기계 및 장비
DPRO,Draganfly Inc,52101010,항공우주 및 방위
HWH,HWH International Inc,57201020,소프트웨어
AHI,Advanced Health Intelligence Ltd ADR,57201020,소프트웨어
TLPH,Talphera Inc,56201040,제약
CMMB,Chemomab Therapeutics Ltd ADR,56202010,생명 공학 및 의학 연구
XELA,Exela Technologies Inc,57201010,IT 서비스 및 컨설팅
TOMZ,TOMI Environmental Solutions Inc,52203010,환경 서비스 및 장비
YQ,17 Education & Technology Group Inc ADR,63101010,기타 교육 서비스 제공
TLIS,Talis Biomedical Corp,56202010,생명 공학 및 의학 연구
FRSX,Foresight Autonomous Holdings Ltd ADR,57201020,소프트웨어
CANB,Can B Corp,54301020,식품 소매 및 유통
QTI,QT Imaging Holdings Inc,56101010,첨단 의료 장비 및 기술
ATPC,Agape ATP Corp,56101020,"의료 장비, 물품 및 유통"
ZKIN,ZK International Group Co Ltd,53203020,건설 자재 및 비품
BANL,CBL International Ltd,52407020,항만 운영 및 서비스
OXBR,Oxbridge Re Holdings Ltd,55301050,재보험
CTNT,Cheetah Net Supply Chain Service Inc,53403010,"자동차 차량, 부품 및 서비스 소매"
JG,Aurora Mobile Ltd ADR,57201010,IT 서비스 및 컨설팅
SQFTP,Presidio Property Trus 9.375 Cumulative Redeemable Perpetual Cumulative,60102010,복합부동산 REITs
JL,J-Long Group Ltd,53202020,의류 및 액세서리
NXL,Nexalin Technology Inc,56101010,첨단 의료 장비 및 기술
LIDR,AEye Inc,57104010,전자 장비 및 부품
CJJD,China Jo-Jo Drugstores Inc,54301010,의약품 소매
ASTC,Astrotech Corp,57104010,전자 장비 및 부품
ICLK,iClick Interactive Asia Group Ltd ADR,53302010,광고 및 마케팅
KDLY,Kindly MD Inc,56102010,의료 시설 및 서비스
GIPRU,Generation Income Properties Unit,60101010,"부동산 임대, 개발 및 운영"
NCRA,Nocera Inc,54102010,어업 및 농업
MBIO,Mustang Bio Inc,56202010,생명 공학 및 의학 연구
XTLB,X T L Biopharmaceuticals Ltd ADR,56202010,생명 공학 및 의학 연구
LUMO,Lumos Pharma Inc,56202010,생명 공학 및 의학 연구
DLPN,Dolphin Entertainment Inc,53302030,엔터테인먼트 제작
CONN,Conn's Inc,53403050,컴퓨터 및 전자 제품 소매
STRR,Star Equity Holdings Inc,53203010,주택 건설
INHD,Inno Holdings Inc,52201020,건설 및 엔지니어링
GLTO,Galecto Inc,56202010,생명 공학 및 의학 연구
WAVE,Eco Wave Power Global AB (publ) ADR,59101010,전력 유틸리티
SNTI,Senti Biosciences Inc,56202010,생명 공학 및 의학 연구
AKTS,Akoustis Technologies Inc,57104010,전자 장비 및 부품
ANTE,Airnet Technology Inc ADR,53302010,광고 및 마케팅
FLGC,Flora Growth Corp,56102010,의료 시설 및 서비스
CNTG,Centogene NV,56202010,생명 공학 및 의학 연구
YJ,Yunji Inc ADR,57201030,온라인 서비스
GIGM,GigaMedia Ltd,57201030,온라인 서비스
MDRR,Medalist Diversified Reit Inc,60102020,상업용 REITs
CCLDO,CareCloud 8 75 Cumulative Redeemable Perpetual Pref Shs Series B,57201020,소프트웨어
OP,Oceanpal Inc,52405020,해양 화물 및 물류
REBN,Reborn Coffee Inc,53301020,레스토랑 및 바
GSUN,Golden Sun Health Technology Group Ltd,63101010,기타 교육 서비스 제공
ARBB,ARB IOT Group Ltd,57201010,IT 서비스 및 컨설팅
MDJH,MDJM Ltd,60101020,부동산 서비스
LITM,Snow Lake Resources Ltd,51201050,특수 채굴 및 금속
PMD,Psychemedics Corp,56102010,의료 시설 및 서비스
VRME,VerifyMe Inc,57201020,소프트웨어
EDSA,Edesa Biotech Inc,56202010,생명 공학 및 의학 연구
RMCF,Rocky Mountain Chocolate Factory Inc (Delaware),54102020,식품 가공
ELSE,Electro-Sensors Inc,52102010,산업용 기계 및 장비
NXTT,Next Technology Holding Inc,57201030,온라인 서비스
WISA,WiSA Technologies Inc,57101010,반도체
SANW,S&W Seed Co,54102010,어업 및 농업
RMCO,Royalty Management Holding Corp,51201010,금 제외 귀금속 및 광물
NXGL,Nexgel Inc,56201040,제약
IMNN,Imunon Inc,56202010,생명 공학 및 의학 연구
NCI,Neo-Concept International Group Holdings Ltd,53202020,의류 및 액세서리
GTACU,Global Technology Acquisition Units,55601010,투자 지주 회사
HRYU,Hanryu Holdings Inc,57201020,소프트웨어
FGFPP,Fundamental Global 8 00 Cumulative Pref Shs,55301050,재보험
SPI,SPI Energy Co Ltd,50201010,재생 가능 에너지 장비 및 서비스
LUXH,LuxUrban Hotels Inc,60101010,"부동산 임대, 개발 및 운영"
RCON,Recon Technology Ltd,50103020,오일 관련 서비스 및 장비
MAXN,Maxeon Solar Technologies Ltd,50201010,재생 가능 에너지 장비 및 서비스
MTEX,Mannatech Inc,54102020,식품 가공
INTJ,Intelligent Group Ltd,53302010,광고 및 마케팅
TWOU,2U Inc,57201010,IT 서비스 및 컨설팅
RVYL,Ryvyl Inc,57201020,소프트웨어
IMRN,Immuron Ltd ADR,56201040,제약
APTO,Aptose Biosciences Inc,56202010,생명 공학 및 의학 연구
PRST,Presto Automation Inc,57201010,IT 서비스 및 컨설팅
JYD,Jayud Global Logistics Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
GHSI,Guardion Health Sciences Inc,56201040,제약
OMH,Ohmyhome Ltd,57201020,소프트웨어
AVTX,Avalo Therapeutics Inc,56202010,생명 공학 및 의학 연구
KPRX,Kiora Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
TURB,Turbo Energy SA ADR,50201010,재생 가능 에너지 장비 및 서비스
MNPR,Monopar Therapeutics Inc,56202010,생명 공학 및 의학 연구
CDIO,Cardio Diagnostics Holdings Inc,56202010,생명 공학 및 의학 연구
GURE,Gulf Resources Inc,51101010,상품 화학
VERB,Verb Technology Company Inc,57201010,IT 서비스 및 컨설팅
BRTX,BioRestorative Therapies Inc,56202010,생명 공학 및 의학 연구
KRKR,36Kr Holdings Inc ADR,52203040,경영 지원 서비스
AGMH,AGM Group Holdings Inc,57201020,소프트웨어
TKLF,Yoshitsu Co Ltd ADR,54301010,의약품 소매
GLBZ,Glen Burnie Bancorp,55101010,은행
AEI,Alset Inc,52201020,건설 및 엔지니어링
BTOG,Bit Origin Ltd,57301030,블록 체인 및 암호화폐
JVA,Coffee Holding Co Inc,54102020,식품 가공
RDHL,Redhill Biopharma Ltd ADR,56201040,제약
LIQT,LiqTech International Inc,52203010,환경 서비스 및 장비
JEWL,Adamas One Corp,53202020,의류 및 액세서리
MTEK,Maris Tech Ltd,57102010,통신 및 네트워킹
PPBT,Purple Biotech Ltd ADR,56202010,생명 공학 및 의학 연구
TRUG,Trugolf Holdings Inc,57107010,통합 하드웨어 및 소프트웨어
NMHI,Nature's Miracle Holding Inc,53203020,건설 자재 및 비품
CLWT,Euro Tech Holdings Company Ltd,52203010,환경 서비스 및 장비
CHEK,Check Cap Ltd,56202010,생명 공학 및 의학 연구
ASTR,Astra Space Inc,52101010,항공우주 및 방위
CNVS,Cineverse Corp,53302030,엔터테인먼트 제작
CREV,Carbon Revolution PLC,51101030,특수 화학제
MFI,mF International Limited,57201010,IT 서비스 및 컨설팅
SRM,SRM Entertainment Inc,53205010,장난감 및 어린이 제품
CLVSQ,Clovis Oncology Inc,56202010,생명 공학 및 의학 연구
EEIQ,EpicQuest Education Group International Ltd,63101010,기타 교육 서비스 제공
SOGP,Sound Group Inc ADR,57201030,온라인 서비스
VISL,Vislink Technologies Inc,57102010,통신 및 네트워킹
GVP,GSE Systems Inc,57201010,IT 서비스 및 컨설팅
LUCY,Innovative Eyewear Inc,56101020,"의료 장비, 물품 및 유통"
AMIX,Autonomix Medical Inc,56101010,첨단 의료 장비 및 기술
SIDU,Sidus Space Inc,52101010,항공우주 및 방위
DTSS,Datasea Inc,57201020,소프트웨어
CLEU,China Liberal Education Holdings Ltd,63101010,기타 교육 서비스 제공
PIXY,ShiftPixy Inc,52203030,고용 서비스
DOMH,Dominari Holdings Inc,56202010,생명 공학 및 의학 연구
LMFA,LM Funding America Inc,55101030,소비자 대출
DXYN,Dixie Group Inc,53204040,가정용 가구
LKCO,Luokung Technology Corp,57201020,소프트웨어
EMKR,EMCORE Corp,52101010,항공우주 및 방위
ATIF,ATIF Holdings Ltd,52203070,전문 정보 서비스
OTRK,Ontrak Inc,56102010,의료 시설 및 서비스
MEGL,Magic Empire Global Ltd,55102010,투자 은행 및 중개 서비스
TCTM,TCTM Kids IT Education Inc ADR,63103010,전문 및 비즈니스 교육
COEP,Coeptis Therapeutics Holdings Inc,56201040,제약
ERNA,Eterna Therapeutics Inc,56202010,생명 공학 및 의학 연구
WBUY,Webuy Global Ltd,57201030,온라인 서비스
SPEC,Spectaire Holdings Inc,52203040,경영 지원 서비스
CRKN,Crown Electrokinetics Corp.,51202010,건설 자재
CNFR,Conifer Holdings Inc,55301020,손해보험
AMPG,Amplitech Group Inc,57102010,통신 및 네트워킹
SSKN,STRATA Skin Sciences Inc,56101010,첨단 의료 장비 및 기술
GDC,GD Culture Group Ltd,53302010,광고 및 마케팅
TNXP,Tonix Pharmaceuticals Holding Corp,56201040,제약
GVH,Globavend Holdings Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
VCNX,Vaccinex Inc,56202010,생명 공학 및 의학 연구
TCRT,Alaunos Therapeutics Inc,56202010,생명 공학 및 의학 연구
PSTV,Plus Therapeutics Inc,56202010,생명 공학 및 의학 연구
AAGR,African Agriculture Holdings Inc,54102010,어업 및 농업
NIVF,NewGenIvf Group Ltd,56102010,의료 시설 및 서비스
RAYA,Erayak Power Solution Group Inc,52102030,전기 부품 및 장비
SMTK,SmartKem Inc,57101010,반도체
HOVR,New Horizon Aircraft Ltd,52101010,항공우주 및 방위
POLA,Polar Power Inc,52102030,전기 부품 및 장비
CYN,CYNGN Inc,57201020,소프트웨어
ALPP,Alpine 4 Holdings Inc,57104010,전자 장비 및 부품
IKT,Inhibikase Therapeutics Inc,56202010,생명 공학 및 의학 연구
MYNZ,Mainz Biomed NV,56102010,의료 시설 및 서비스
SQFT,Presidio Property Trust Inc,60102010,복합부동산 REITs
NVOS,Novo Integrated Sciences Inc,56102010,의료 시설 및 서비스
VVPR,VivoPower International PLC,59101010,전력 유틸리티
XTIA,XTI Aerospace Inc,52101010,항공우주 및 방위
TRAW,Traws Pharma Inc,56202010,생명 공학 및 의학 연구
ZCAR,Zoomcar Holdings Inc,52406020,지상 및 해상 여객 운송
MBRX,Moleculin Biotech Inc,56202010,생명 공학 및 의학 연구
AIHS,Senmiao Technology Ltd,53403010,"자동차 차량, 부품 및 서비스 소매"
PXSAP,Pyxis Tankers 7 75 Cumulative Convertible Pref Shs Series A,52405020,해양 화물 및 물류
ILAG,Intelligent Living Application Group Inc,52102010,산업용 기계 및 장비
WLDS,Wearable Devices Ltd,57107010,통합 하드웨어 및 소프트웨어
MNTS,Momentus Inc,52101010,항공우주 및 방위
LEDS,SemiLEDs Corp,57101010,반도체
ADN,Advent Technologies Holdings Inc,50201010,재생 가능 에너지 장비 및 서비스
ONVO,Organovo Holdings Inc,56202010,생명 공학 및 의학 연구
ASTI,Ascent Solar Technologies Inc,50201010,재생 가능 에너지 장비 및 서비스
FRES,Fresh2 Group Ltd ADR,56202010,생명 공학 및 의학 연구
HYW,Hywin Holdings Ltd ADR,55102020,투자 관리 및 펀드 운영
STKH,Steakholder Foods Ltd ADR,54102010,어업 및 농업
ELAB,ELEVAI Labs Inc,56202010,생명 공학 및 의학 연구
BLBX,Blackboxstocks Inc,57201020,소프트웨어
ROMA,Roma Green Finance Ltd,52203040,경영 지원 서비스
BLIN,Bridgeline Digital Inc,57201020,소프트웨어
MGOL,MGO Global Inc,53302010,광고 및 마케팅
HIHO,Highway Holdings Ltd,51201020,철 및 강철
VWE,Vintage Wine Estates Inc,54101020,증류주 및 포도주
ASNS,Actelis Networks Inc,52201020,건설 및 엔지니어링
NLSP,NLS Pharmaceutics AG,56202010,생명 공학 및 의학 연구
GDHG,Golden Heaven Group Holdings Ltd,53301040,여가 및 오락시설
UPXI,Upexi Inc,57201030,온라인 서비스
MGRX,Mangoceuticals Inc,56102010,의료 시설 및 서비스
FGI,FGI Industries Ltd,53403020,주택 개조 제품 및 서비스 소매
JNVR,Janover Inc,57301010,핀테크
GCTK,GlucoTrack Inc,56202010,생명 공학 및 의학 연구
MINM,Minim Inc,57401020,무선 통신 서비스
GV,Visionary Holdings Inc,60101010,"부동산 임대, 개발 및 운영"
VVOS,Vivos Therapeutics Inc,56101020,"의료 장비, 물품 및 유통"
PIRS,Pieris Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
MTEM,Molecular Templates Inc,56202010,생명 공학 및 의학 연구
CAUD,Collective Audience Inc,57201010,IT 서비스 및 컨설팅
CYCN,Cyclerion Therapeutics Inc,56202010,생명 공학 및 의학 연구
EZFL,EzFill Holdings Inc,50102030,"오일, 가스 정제 및 마케팅"
PWM,Prestige Wealth Inc,55102020,투자 관리 및 펀드 운영
BGLC,BioNexus Gene Lab Corp,56202010,생명 공학 및 의학 연구
